PV_IN;CV;PV_OUT;TIME;Unnamed: 4;Time_s
6,6;0,0;79,89;24/09/2026 12:13;;0,0
6,51;0,0;79,86;24/09/2026 12:13;;1,0
6,42;0,0;79,83;24/09/2026 12:13;;2,0
6,34;0,0;79,8;24/09/2026 12:13;;3,0
6,26;0,0;79,78;24/09/2026 12:13;;4,0
6,17;0,0;79,75;24/09/2026 12:13;;5,0
6,09;0,0;79,71;24/09/2026 12:13;;6,0
6,02;0,0;79,69;24/09/2026 12:13;;7,0
5,96;0,0;79,66;24/09/2026 12:13;;8,0
5,87;0,0;79,63;24/09/2026 12:13;;9,0
5,8;0,0;79,61;24/09/2026 12:13;;10,0
5,73;0,0;79,59;24/09/2026 12:13;;11,0
5,68;0,0;79,57;24/09/2026 12:13;;12,0
5,61;0,0;79,55;24/09/2026 12:13;;13,0
5,55;0,0;79,51;24/09/2026 12:13;;14,0
5,48;0,0;79,5;24/09/2026 12:13;;15,0
5,43;0,0;79,48;24/09/2026 12:13;;16,0
5,38;0,0;79,46;24/09/2026 12:13;;17,0
5,32;0,0;79,44;24/09/2026 12:13;;18,0
5,26;0,0;79,41;24/09/2026 12:14;;19,0
5,22;0,0;79,4;24/09/2026 12:14;;20,0
5,19;0,0;79,39;24/09/2026 12:14;;21,0
5,12;0,0;79,37;24/09/2026 12:14;;22,0
5,07;0,0;79,35;24/09/2026 12:14;;23,0
5,03;0,0;79,32;24/09/2026 12:14;;24,0
4,99;0,0;79,3;24/09/2026 12:14;;25,0
4,93;0,0;79,29;24/09/2026 12:14;;26,0
4,9;0,0;79,27;24/09/2026 12:14;;27,0
4,85;0,0;79,25;24/09/2026 12:14;;28,0
4,81;0,0;79,25;24/09/2026 12:14;;29,0
4,77;0,0;79,23;24/09/2026 12:14;;30,0
4,74;0,0;79,2;24/09/2026 12:14;;31,0
4,7;0,0;79,19;24/09/2026 12:14;;32,0
4,66;0,0;79,17;24/09/2026 12:14;;33,0
4,63;0,0;79,15;24/09/2026 12:14;;34,0
4,6;0,0;79,14;24/09/2026 12:14;;35,0
4,56;0,0;79,11;24/09/2026 12:14;;36,0
4,53;0,0;79,1;24/09/2026 12:14;;37,0
4,5;0,55;78,89;24/09/2026 12:14;;38,0
4,5;1,11;78,66;24/09/2026 12:14;;39,0
4,51;2,23;78,46;24/09/2026 12:14;;40,0
4,55;2,78;78,22;24/09/2026 12:14;;41,0
4,61;3,33;78,0;24/09/2026 12:14;;42,0
4,7;3,89;77,76;24/09/2026 12:14;;43,0
4,79;4,44;77,52;24/09/2026 12:14;;44,0
4,88;5,01;77,32;24/09/2026 12:14;;45,0
5,02;5,55;77,09;24/09/2026 12:14;;46,0
5,15;6,1;76,88;24/09/2026 12:14;;47,0
5,28;6,67;76,68;24/09/2026 12:14;;48,0
5,46;7,22;76,48;24/09/2026 12:14;;49,0
5,64;7,78;76,29;24/09/2026 12:14;;50,0
5,82;8,33;76,08;24/09/2026 12:14;;51,0
5,97;8,88;75,91;24/09/2026 12:14;;52,0
6,18;9,45;75,7;24/09/2026 12:14;;53,0
6,45;10,0;75,48;24/09/2026 12:14;;54,0
6,64;10,56;75,29;24/09/2026 12:14;;55,0
6,92;11,11;75,08;24/09/2026 12:14;;56,0
6,92;11,11;75,08;24/09/2026 12:14;;57,0
7,18;11,67;74,87;24/09/2026 12:14;;58,0
7,67;12,77;74,47;24/09/2026 12:14;;59,0
7,91;13,34;74,27;24/09/2026 12:14;;60,0
7,91;13,34;74,27;24/09/2026 12:14;;61,0
8,3;13,89;74,07;24/09/2026 12:14;;62,0
8,58;14,45;73,86;24/09/2026 12:14;;63,0
8,97;15,0;73,67;24/09/2026 12:14;;64,0
9,31;15,55;73,48;24/09/2026 12:14;;65,0
9,62;16,11;73,32;24/09/2026 12:14;;66,0
9,97;16,66;73,12;24/09/2026 12:14;;67,0
10,27;17,23;72,77;24/09/2026 12:14;;68,0
10,68;17,78;72,61;24/09/2026 12:14;;69,0
11,07;18,33;72,46;24/09/2026 12:14;;70,0
11,47;18,89;72,31;24/09/2026 12:14;;71,0
11,84;19,44;72,14;24/09/2026 12:14;;72,0
12,29;20,01;72,08;24/09/2026 12:14;;73,0
12,62;20,56;72,0;24/09/2026 12:14;;74,0
13,15;21,1;71,98;24/09/2026 12:14;;75,0
13,51;21,67;71,98;24/09/2026 12:14;;76,0
13,91;22,22;71,88;24/09/2026 12:14;;77,0
14,48;22,78;71,86;24/09/2026 12:14;;78,0
14,85;23,33;71,74;24/09/2026 12:15;;79,0
15,33;23,88;71,71;24/09/2026 12:15;;80,0
15,86;24,45;71,64;24/09/2026 12:15;;81,0
16,37;25,0;71,59;24/09/2026 12:15;;82,0
16,88;25,56;71,51;24/09/2026 12:15;;83,0
17,4;26,11;71,35;24/09/2026 12:15;;84,0
17,92;26,66;71,3;24/09/2026 12:15;;85,0
18,39;27,22;71,19;24/09/2026 12:15;;86,0
18,92;27,77;71,11;24/09/2026 12:15;;87,0
19,47;28,34;71,04;24/09/2026 12:15;;88,0
19,96;28,89;70,96;24/09/2026 12:15;;89,0
20,28;29,44;70,9;24/09/2026 12:15;;90,0
21,07;30,0;70,79;24/09/2026 12:15;;91,0
21,61;30,55;70,64;24/09/2026 12:15;;92,0
22,18;31,12;70,47;24/09/2026 12:15;;93,0
22,73;31,66;70,31;24/09/2026 12:15;;94,0
23,12;32,23;70,05;24/09/2026 12:15;;95,0
23,85;32,78;69,79;24/09/2026 12:15;;96,0
24,23;33,33;69,79;24/09/2026 12:15;;97,0
24,84;33,89;69,54;24/09/2026 12:15;;98,0
25,45;34,44;69,42;24/09/2026 12:15;;99,0
26,0;35,01;69,37;24/09/2026 12:15;;100,0
26,55;35,56;69,27;24/09/2026 12:15;;101,0
27,11;36,67;69,12;24/09/2026 12:15;;102,0
27,6;37,22;69,02;24/09/2026 12:15;;103,0
28,04;37,78;68,93;24/09/2026 12:15;;104,0
28,7;38,33;68,84;24/09/2026 12:15;;105,0
29,24;38,88;68,77;24/09/2026 12:15;;106,0
29,76;39,45;68,69;24/09/2026 12:15;;107,0
30,25;40,0;68,61;24/09/2026 12:15;;108,0
30,82;40,56;68,59;24/09/2026 12:15;;109,0
31,3;41,11;68,46;24/09/2026 12:15;;110,0
31,3;41,11;68,46;24/09/2026 12:15;;111,0
32,32;42,22;68,36;24/09/2026 12:15;;112,0
32,78;42,77;68,32;24/09/2026 12:15;;113,0
32,78;42,77;68,32;24/09/2026 12:15;;114,0
33,29;43,34;68,32;24/09/2026 12:15;;115,0
33,79;43,89;68,23;24/09/2026 12:15;;116,0
34,26;44,44;68,16;24/09/2026 12:15;;117,0
34,69;45,0;68,11;24/09/2026 12:15;;118,0
35,15;45,55;68,14;24/09/2026 12:15;;119,0
35,66;46,12;68,1;24/09/2026 12:15;;120,0
36,08;46,67;67,99;24/09/2026 12:15;;121,0
36,52;47,22;67,99;24/09/2026 12:15;;122,0
36,92;47,78;67,97;24/09/2026 12:15;;123,0
37,38;48,33;67,88;24/09/2026 12:15;;124,0
37,82;48,89;67,96;24/09/2026 12:15;;125,0
38,2;49,44;67,86;24/09/2026 12:15;;126,0
38,55;50,01;67,94;24/09/2026 12:15;;127,0
38,95;50,56;67,93;24/09/2026 12:15;;128,0
39,4;51,11;67,83;24/09/2026 12:15;;129,0
39,73;51,67;67,8;24/09/2026 12:15;;130,0
40,13;52,22;67,8;24/09/2026 12:15;;131,0
40,46;52,78;67,87;24/09/2026 12:15;;132,0
40,82;53,33;67,86;24/09/2026 12:15;;133,0
41,13;53,88;67,82;24/09/2026 12:15;;134,0
41,44;54,45;67,79;24/09/2026 12:15;;135,0
41,8;55,0;67,78;24/09/2026 12:15;;136,0
42,09;55,56;67,82;24/09/2026 12:15;;137,0
42,42;56,11;67,83;24/09/2026 12:15;;138,0
42,73;56,66;67,83;24/09/2026 12:16;;139,0
42,96;57,23;67,84;24/09/2026 12:16;;140,0
43,3;57,78;67,93;24/09/2026 12:16;;141,0
43,53;58,34;67,88;24/09/2026 12:16;;142,0
43,81;58,89;67,9;24/09/2026 12:16;;143,0
44,07;59,44;67,92;24/09/2026 12:16;;144,0
44,3;60,0;67,93;24/09/2026 12:16;;145,0
44,54;60,55;67,96;24/09/2026 12:16;;146,0
44,77;61,12;67,99;24/09/2026 12:16;;147,0
45,0;61,67;67,98;24/09/2026 12:16;;148,0
45,21;62,22;67,98;24/09/2026 12:16;;149,0
45,41;62,78;67,97;24/09/2026 12:16;;150,0
45,6;63,33;67,99;24/09/2026 12:16;;151,0
45,8;63,89;68,03;24/09/2026 12:16;;152,0
46,0;64,44;68,01;24/09/2026 12:16;;153,0
46,19;64,99;68,01;24/09/2026 12:16;;154,0
46,34;65,56;68,01;24/09/2026 12:16;;155,0
46,51;66,11;68,01;24/09/2026 12:16;;156,0
46,68;66,67;68,03;24/09/2026 12:16;;157,0
46,84;67,77;68,03;24/09/2026 12:16;;158,0
47,0;68,34;68,03;24/09/2026 12:16;;159,0
47,15;68,88;68,05;24/09/2026 12:16;;160,0
47,31;69,45;68,03;24/09/2026 12:16;;161,0
47,45;70,0;68,04;24/09/2026 12:16;;162,0
47,58;70,56;68,01;24/09/2026 12:16;;163,0
47,7;71,11;68,01;24/09/2026 12:16;;164,0
47,83;71,66;68,04;24/09/2026 12:16;;165,0
47,95;72,23;68,07;24/09/2026 12:16;;166,0
48,08;72,78;68,0;24/09/2026 12:16;;167,0
48,2;73,34;67,96;24/09/2026 12:16;;168,0
48,32;73,89;67,97;24/09/2026 12:16;;169,0
48,41;74,44;67,92;24/09/2026 12:16;;170,0
48,55;75,0;67,92;24/09/2026 12:16;;171,0
48,67;75,55;67,89;24/09/2026 12:16;;172,0
48,71;76,12;67,94;24/09/2026 12:16;;173,0
48,71;76,12;67,94;24/09/2026 12:16;;174,0
48,88;76,67;67,92;24/09/2026 12:16;;175,0
48,99;77,22;67,92;24/09/2026 12:16;;176,0
49,07;77,78;68,07;24/09/2026 12:16;;177,0
49,19;78,33;68,21;24/09/2026 12:16;;178,0
49,32;78,9;68,4;24/09/2026 12:16;;179,0
49,46;79,44;68,59;24/09/2026 12:16;;180,0
49,58;79,99;68,73;24/09/2026 12:16;;181,0
49,73;80,56;68,9;24/09/2026 12:16;;182,0
49,89;81,11;69,03;24/09/2026 12:16;;183,0
50,0;81,67;69,13;24/09/2026 12:16;;184,0
50,19;82,22;69,21;24/09/2026 12:16;;185,0
50,31;82,77;69,29;24/09/2026 12:16;;186,0
50,47;83,34;69,37;24/09/2026 12:16;;187,0
50,6;83,89;69,41;24/09/2026 12:16;;188,0
50,74;84,45;69,46;24/09/2026 12:16;;189,0
50,85;85,0;69,53;24/09/2026 12:16;;190,0
50,99;85,55;69,59;24/09/2026 12:16;;191,0
51,11;86,11;69,62;24/09/2026 12:16;;192,0
51,26;86,66;69,67;24/09/2026 12:16;;193,0
51,37;87,23;69,71;24/09/2026 12:16;;194,0
51,51;87,78;69,73;24/09/2026 12:16;;195,0
51,6;88,33;69,77;24/09/2026 12:16;;196,0
51,72;88,89;69,77;24/09/2026 12:16;;197,0
51,81;89,44;69,77;24/09/2026 12:16;;198,0
51,93;90,0;69,76;24/09/2026 12:17;;199,0
52,03;90,55;69,72;24/09/2026 12:17;;200,0
52,13;91,12;69,7;24/09/2026 12:17;;201,0
52,2;91,67;69,71;24/09/2026 12:17;;202,0
52,29;92,22;69,66;24/09/2026 12:17;;203,0
52,39;92,78;69,64;24/09/2026 12:17;;204,0
52,41;93,33;69,59;24/09/2026 12:17;;205,0
52,5;93,9;69,56;24/09/2026 12:17;;206,0
52,57;94,45;69,52;24/09/2026 12:17;;207,0
52,63;94,99;69,5;24/09/2026 12:17;;208,0
52,7;95,56;69,45;24/09/2026 12:17;;209,0
52,72;96,11;69,42;24/09/2026 12:17;;210,0
52,81;96,67;69,41;24/09/2026 12:17;;211,0
52,86;97,22;69,37;24/09/2026 12:17;;212,0
52,91;97,77;69,32;24/09/2026 12:17;;213,0
52,95;98,89;69,3;24/09/2026 12:17;;214,0
52,98;99,45;69,25;24/09/2026 12:17;;215,0
53,03;100,0;69,21;24/09/2026 12:17;;216,0
53,07;100,0;69,18;24/09/2026 12:17;;217,0
53,1;100,0;69,17;24/09/2026 12:17;;218,0
53,14;100,0;69,15;24/09/2026 12:17;;219,0
53,17;100,0;69,13;24/09/2026 12:17;;220,0
53,2;100,0;69,12;24/09/2026 12:17;;221,0
53,22;100,0;69,09;24/09/2026 12:17;;222,0
53,23;100,0;69,08;24/09/2026 12:17;;223,0
53,23;100,0;69,06;24/09/2026 12:17;;224,0
53,26;100,0;69,04;24/09/2026 12:17;;225,0
53,28;100,0;69,02;24/09/2026 12:17;;226,0
53,28;100,0;69,0;24/09/2026 12:17;;227,0
53,28;100,0;69,0;24/09/2026 12:17;;228,0
53,28;100,0;68,99;24/09/2026 12:17;;229,0
53,29;100,0;68,97;24/09/2026 12:17;;230,0
53,31;100,0;68,93;24/09/2026 12:17;;231,0
53,31;100,0;68,93;24/09/2026 12:17;;232,0
53,31;100,0;68,89;24/09/2026 12:17;;233,0
53,29;100,0;68,88;24/09/2026 12:17;;234,0
53,31;100,0;68,86;24/09/2026 12:17;;235,0
53,3;100,0;68,88;24/09/2026 12:17;;236,0
53,31;100,0;68,87;24/09/2026 12:17;;237,0
53,31;100,0;68,8;24/09/2026 12:17;;238,0
53,31;100,0;68,78;24/09/2026 12:17;;239,0
53,29;100,0;68,77;24/09/2026 12:17;;240,0
53,29;100,0;68,75;24/09/2026 12:17;;241,0
53,29;100,0;68,73;24/09/2026 12:17;;242,0
53,29;100,0;68,7;24/09/2026 12:17;;243,0
53,28;100,0;68,69;24/09/2026 12:17;;244,0
53,29;100,0;68,68;24/09/2026 12:17;;245,0
53,28;100,0;68,66;24/09/2026 12:17;;246,0
53,25;100,0;68,66;24/09/2026 12:17;;247,0
53,26;100,0;68,62;24/09/2026 12:17;;248,0
53,25;100,0;68,61;24/09/2026 12:17;;249,0
53,25;100,0;68,6;24/09/2026 12:17;;250,0
53,24;100,0;68,59;24/09/2026 12:17;;251,0
53,22;100,0;68,59;24/09/2026 12:17;;252,0
53,22;100,0;68,56;24/09/2026 12:17;;253,0
53,21;100,0;68,56;24/09/2026 12:17;;254,0
53,2;100,0;68,54;24/09/2026 12:17;;255,0
53,2;100,0;68,54;24/09/2026 12:17;;256,0
53,2;100,0;68,56;24/09/2026 12:17;;257,0
53,18;100,0;68,51;24/09/2026 12:17;;258,0
53,17;100,0;68,48;24/09/2026 12:18;;259,0
53,16;100,0;68,47;24/09/2026 12:18;;260,0
53,16;100,0;68,46;24/09/2026 12:18;;261,0
53,14;100,0;68,44;24/09/2026 12:18;;262,0
53,13;100,0;68,42;24/09/2026 12:18;;263,0
53,12;100,0;68,41;24/09/2026 12:18;;264,0
53,12;100,0;68,4;24/09/2026 12:18;;265,0
